"DATE","COUNTER","EXCHANGE","AMOUNT"
"1506211200","BCH","POLO","1.55337223"
"1506211200","BTC","POLO","0.69161359"
"1506211200","ETH","POLO","2.77229675"
"1506211200","NXC","POLO","4303.21500000"
"1506297600","BCH","POLO","1.55337223"
"1506297600","BTC","POLO","0.69161359"
"1506297600","ETH","POLO","2.77229675"
"1506297600","NXC","POLO","4303.21500000"
"1506384000","BCH","POLO","1.55337223"
"1506384000","BTC","POLO","0.69161359"
"1506384000","ETH","POLO","2.77229675"
"1506384000","NXC","POLO","4303.21500000"
"1506470400","BCH","POLO","1.55337223"
"1506470400","BTC","POLO","0.36425359"
"1506470400","ZEC","POLO","2.50602131"
"1506470400","ETH","POLO","0.47324362"
"1506470400","NXC","POLO","4303.21500000"
"1506470400","GAME","POLO","527.20800001"
"1506470400","BTC","TREX","0.28181807"
"1506470400","EBST","TREX","3612.00000000"
"1506556800","BCH","POLO","1.55337223"
"1506556800","BTC","POLO","0.36425359"
"1506556800","ZEC","POLO","2.50602131"
"1506556800","ETH","POLO","0.47324362"
"1506556800","NXC","POLO","4303.21500000"
"1506556800","GAME","POLO","527.20800001"
"1506556800","BTC","TREX","0.28181807"
"1506556800","EBST","TREX","3612.00000000"
"1506643200","BCH","POLO","1.55337223"
"1506643200","BTC","POLO","0.03064938"
"1506643200","ZEC","POLO","6.48604633"
"1506643200","STEEM","POLO","1048.42500001"
"1506643200","ETH","POLO","0.47324362"
"1506643200","GAME","POLO","527.20800001"
"1506643200","BTC","TREX","0.28181807"
"1506643200","EBST","TREX","3612.00000000"
"1506816000","BCH","POLO","1.55337223"
"1506816000","BTC","POLO","0.03064938"
"1506816000","ZEC","POLO","6.48604633"
"1506816000","STEEM","POLO","1048.42500001"
"1506816000","ETH","POLO","0.47324362"
"1506816000","GAME","POLO","527.20800001"
"1506816000","BTC","TREX","0.28181807"
"1506816000","EBST","TREX","3612.00000000"
"1506902400","BCH","POLO","1.55337223"
"1506902400","BTC","POLO","0.03064938"
"1506902400","ZEC","POLO","6.48604633"
"1506902400","STEEM","POLO","1048.42500001"
"1506902400","ETH","POLO","0.47324362"
"1506902400","GAME","POLO","527.20800001"
"1506902400","BTC","TREX","0.28181807"
"1506902400","EBST","TREX","3612.00000000"
"1506988800","BTC","POLO","0.58808098"
"1506988800","STEEM","POLO","1048.42500001"
"1506988800","GAME","POLO","527.20800001"
"1506988800","BTC","TREX","0.28181807"
"1506988800","EBST","TREX","3612.00000000"
