"BASE","COUNTER","EXCHANGE","DATE","CLOSE","VOLUME","ATR","AMOUNT","TOTAL","DIRECTION","STOP","H_L"
"ABY","BTC","TREX","1506211200","0.00000191","45","0.00000023","69395.75","0.14","LONG","0.00000146","25"
"AEON","BTC","TREX","1506211200","0.00024459","17","0.00003755","425.14","0.11","LONG","0.00016951","25"
"AGRS","BTC","TREX","1506211200","0.00009540","8","0.00001091","1463.20","0.14","LONG","0.00007359","25"
"BELA","BTC","POLO","1506211200","0.00004156","36","0.00000528","3027.88","0.13","LONG","0.00003102","25"
"BSD","BTC","TREX","1506211200","0.00010702","21","0.00001238","1289.41","0.14","LONG","0.00008227","25"
"CLAM","BTC","POLO","1506211200","0.00216","274","0.00014533","109.83","0.24","LONG","0.00186935","25"
"CLAM","BTC","TREX","1506211200","0.00216501","37","0.00028262","56.48","0.13","LONG","0.00159979","25"
"CLUB","BTC","TREX","1506211200","0.00011624","4","0.00000956","1670.82","0.20","LONG","0.00009714","25"
"DASH","BTC","POLO","1506211200","0.09195965","2340","0.00591295","2.70","0.25","LONG","0.08013375","25"
"DASH","BTC","TREX","1506211200","0.09190500","920","0.00660710","2.42","0.23","LONG","0.07869081","25"
"DASH","ETH","TREX","1506211200","1.19382927","1226","0.09447180","0.17","0.21","LONG","1.00488567","25"
"DASH","XMR","POLO","1506211200","3.73498289","86","0.36236220","0.05","0.17","LONG","3.01025849","25"
"DCR","BTC","POLO","1506211200","0.0091924","80","0.00105314","15.16","0.14","LONG","0.00708613","25"
"DCR","BTC","TREX","1506211200","0.00929926","262","0.00106549","14.98","0.14","LONG","0.00716830","25"
"DMD","BTC","TREX","1506211200","0.00230000","82","0.00024146","66.11","0.16","LONG","0.00181710","25"
"EBST","BTC","TREX","1506211200","0.00004720","564","0.00001017","1569.53","0.08","LONG","0.00002687","25"
"EMC2","BTC","POLO","1506211200","0.00001727","38","0.00000221","7247.13","0.13","LONG","0.00001287","25"
"EMC2","BTC","TREX","1506211200","0.00001735","147","0.00000215","7424.07","0.13","LONG","0.00001306","25"
"FAIR","BTC","TREX","1506211200","0.00019083","2","0.00001757","908.54","0.18","LONG","0.00015570","25"
"GBG","BTC","TREX","1506211200","0.00003291","106","0.00000542","2948.37","0.10","LONG","0.00002209","25"
"HMQ","ETH","TREX","1506211200","0.00043233","86","0.00006214","256.87","0.12","LONG","0.00030807","25"
"IOP","BTC","TREX","1506211200","0.00104773","1827","0.00014757","108.17","0.12","LONG","0.00075261","25"
"KORE","BTC","TREX","1506211200","0.00147000","368","0.00024344","65.57","0.10","LONG","0.00098313","25"
"MUE","BTC","TREX","1506211200","0.00003787","23","0.00000497","3213.28","0.13","LONG","0.00002794","25"
"NXC","BTC","POLO","1506211200","0.00011859","250","0.00001144","1395.94","0.17","LONG","0.00009573","25"
"NXC","BTC","TREX","1506211200","0.00011925","730","0.00001339","1192.51","0.15","LONG","0.00009249","25"
"SBD","BTC","POLO","1506211200","0.00026716","1","0.00002796","570.88","0.16","LONG","0.00021125","25"
"SLR","BTC","TREX","1506211200","0.00005182","49","0.00000782","2043.19","0.11","LONG","0.00003620","25"
"SYNX","BTC","TREX","1506211200","0.00008010","424","0.00001227","1301.71","0.11","LONG","0.00005558","25"
"TKS","BTC","TREX","1506211200","0.00071200","21","0.00008541","186.89","0.14","LONG","0.00054120","25"
"TRST","BTC","TREX","1506211200","0.00008751","175","0.00001295","1233.21","0.11","LONG","0.00006163","25"
"TX","BTC","TREX","1506211200","0.00012300","18","0.00001740","917.67","0.12","LONG","0.00008822","25"
"UNB","BTC","TREX","1506211200","0.00006830","11","0.00001146","1393.25","0.10","LONG","0.00004539","25"
"VTC","BTC","POLO","1506211200","0.00027791","29","0.00003523","453.14","0.13","LONG","0.00020747","25"
"VTC","BTC","TREX","1506211200","0.00027802","160","0.00003984","400.70","0.12","LONG","0.00019836","25"
"VTR","BTC","TREX","1506211200","0.00005646","11","0.00000827","1931.37","0.11","LONG","0.00003994","25"
"XWC","BTC","TREX","1506211200","0.00000672","38","0.00000088","18247.45","0.13","LONG","0.00000498","25"
"XZC","BTC","TREX","1506211200","0.00308267","213","0.00045768","34.88","0.11","LONG","0.00216733","25"
"ZEC","XMR","POLO","1506211200","2.2901777","102","0.28379440","0.06","0.13","LONG","1.72258890","25"
"2GIVE","BTC","TREX","1506297600","0.00000156","33","0.00000021","75869.31","0.12","LONG","0.00000116","25"
"BAY","BTC","TREX","1506297600","0.00000625","78","0.00000093","16697.64","0.11","LONG","0.00000441","25"
"BELA","BTC","POLO","1506297600","0.00004528","232","0.00000585","2636.83","0.12","LONG","0.00003360","25"
"CLAM","BTC","POLO","1506297600","0.00219732","277","0.00014981","102.88","0.23","LONG","0.00189771","25"
"CLAM","BTC","TREX","1506297600","0.00219639","48","0.00028096","54.86","0.13","LONG","0.00163449","25"
"EMC2","BTC","POLO","1506297600","0.00001943","119","0.00000230","6708.67","0.14","LONG","0.00001484","25"
"EMC2","BTC","TREX","1506297600","0.00002069","541","0.00000229","6730.19","0.14","LONG","0.00001612","25"
"EXCL","BTC","TREX","1506297600","0.00035756","43","0.00007010","219.86","0.08","LONG","0.00021738","25"
"GAME","BTC","POLO","1506297600","0.00049798","83","0.00007169","215.00","0.11","LONG","0.00035462","25"
"HMQ","ETH","TREX","1506297600","0.00044680","30","0.00006088","253.17","0.12","LONG","0.00032506","25"
"INCNT","BTC","TREX","1506297600","0.00005020","54","0.00001036","1487.86","0.08","LONG","0.00002949","25"
"MUE","BTC","TREX","1506297600","0.00003878","31","0.00000495","3119.22","0.13","LONG","0.00002890","25"
"PKB","BTC","TREX","1506297600","0.00010029","4","0.00001724","893.99","0.09","LONG","0.00006582","25"
"RDD","BTC","TREX","1506297600","0.00000040","6592","0.00000005","338918.60","0.14","LONG","0.00000031","25"
"SBD","BTC","POLO","1506297600","0.00026787","10","0.00002728","565.05","0.16","LONG","0.00021333","25"
"SBD","BTC","TREX","1506297600","0.00026838","33","0.00003645","422.81","0.12","LONG","0.00019549","25"
"SLR","BTC","TREX","1506297600","0.00005599","25","0.00000795","1939.11","0.11","LONG","0.00004010","25"
"TRST","BTC","TREX","1506297600","0.00008755","133","0.00001279","1205.72","0.11","LONG","0.00006199","25"
"TRST","ETH","TREX","1506297600","0.00114515","68","0.00017472","88.21","0.11","LONG","0.00079572","25"
"UNB","BTC","TREX","1506297600","0.00007928","99","0.00001210","1274.40","0.11","LONG","0.00005510","25"
"ZEC","XMR","POLO","1506297600","2.46029448","163","0.28009860","0.06","0.14","LONG","1.90009728","25"
"2GIVE","BTC","TREX","1506384000","0.00000158","29","0.0000002049666","76889.360000000","0.12148518880000000","LONG","0.0000011700668","25"
"ABY","BTC","TREX","1506384000","0.00000212","331","0.0000002510892","62765.540000000","0.13306294480000000","LONG","0.0000016178216","25"
"AEON","BTC","TREX","1506384000","0.00026519","15","0.00003815166","413.081600000","0.10954510950400000","LONG","0.00018888668","25"
"ARDR","BTC","POLO","1506384000","0.00003539","56","0.000003988568","3951.230000000","0.13983402970000000","LONG","0.000027412864","25"
"ARDR","BTC","TREX","1506384000","0.00003527","119","0.000003658561","4307.636000000","0.15193032172000000","LONG","0.000027952878","25"
"BAY","BTC","TREX","1506384000","0.00000650","44","0.000000911285","17293.990000000","0.11241093500000000","LONG","0.000004677430","25"
"BITB","BTC","TREX","1506384000","0.00000087","45","0.0000001102008","143009.400000000","0.12441817800000000","LONG","0.0000006495984","25"
"CLAM","BTC","POLO","1506384000","0.00220245","63","0.0001499985","105.066100000","0.23140283194500000","LONG","0.0019024530","25"
"CLAM","BTC","TREX","1506384000","0.00222062","20","0.0002742820","57.458200000","0.12759282808400000","LONG","0.0016720560","25"
"CURE","BTC","TREX","1506384000","0.00005800","8","0.000008504245","1853.163000000","0.10748345400000000","LONG","0.00004099151","25"
"DMD","BTC","TREX","1506384000","0.00285821","211","0.0002863095","55.044450000","0.15732859743450000","LONG","0.0022855910","25"
